dwarf|Defensive Training|When fighting enemies of the Giant subtype, gain a +4 Dodge bonus to Armor Class.
dwarf|Greed|When appraising goods with precious metals or gems gain a +2 bonus to Appraise.
dwarf|Hatred|When fighting enemies of the Orc or Goblinoid subtypes, gain a +1 bonus to Attack rolls.
dwarf|Hardy|Gain a +2 bonus on Saving Throws against Poisons and Spells.
dwarf|Stability|Gain a +4 bonus to CMD when resisting a Bull Rush or Trip.
dwarf|Stonecutting|Gain a +2 bonus on Perception checks against unusual stonework.
elf|Elven Immunities|You are immune to magic sleep effects and gain a +2 bonus on Saving Throws against enchantment spells.
elf|Elven Magic|If you are a spell-caster, gain a +2 bonus on checks to overcome Spell Resistance. Also, gain a +2 bonus to Spellcraft when identifying magic properties.
elf|Keen Senses|Gain a +2 bonus on Perception checks.
gnome|Defensive Training|When fighting enemies of the Giant subtype, gain a +4 Dodge bonus to Armor Class.
gnome|Gnome Magic|If you are a spell-caster, gain a +2 bonus on Saving Throws for illusion spells you cast. Also, regardless of your class, if your Charisma is 11 or higher you gain some spell-like abilities each day. <a href='http://www.d20pfsrd.com/races/core-races/gnome/#Magical_Racial_Traits' target="_blank">See Paizo page for full description.</a>
gnome|Hatred|When fighting enemies of the Reptilian or Goblinoid subtypes, gain a +1 bonus to Attack rolls.
gnome|Illusion Resistance|Gain a +2 bonus on Saving Throws against illusion spells.
gnome|Keen Senses|Gain a +2 bonus on Perception checks.
gnome|Obsessive|Gain a +2 bonus on a Craft or Profession skill of your choice.
half-elf|Elven Immunities|You are immune to magic sleep effects and gain a +2 bonus on Saving Throws against enchantment spells.
half-elf|Keen Senses|Gain a +2 bonus on Perception checks.
half-orc|Intimidating|You gain a +2 bonus on Intimidate skill checks.
half-orc|Orc Ferocity|Once per day, if you are brought below 0 hit points but not killed, fight on for one more round as if disabled. At the end of your next turn, if you aren't brought above 0 hit points you will immediately fall unconscious.
halfling|Fearless|Gain a +2 bonus on Saving Throws against fear.
halfling|Halfling Luck|Gain a +1 bonus on all Saving Throws (stacks with Fearless).
halfling|Keen Senses|Gain a +2 bonus on Perception checks.
halfling|Sure-Footed|Gain a +2 bonus on Acrobatics and Climb skill checks.
human|Skilled|Gain an additional skill rank whenever you gain a level.
